price,title,additional_info,description,link
39.900 EUR,Porsche Cayenne 2016,Eléctrico · Automático · 416 caballos · 2016,"Se vende Porsche Cayenne Hybrid del año 2016. Kilometraje: 139 400 km. Motor: híbrido (gasolina/eléctrico). Equipamiento: asientos ventilados, luces automáticas, sistema de sonido Bose, techo panorámico, cortinas automáticas para los pasajeros traseros. Coche en tratamiento cerámico. Coches localiza en Alicante, puedes venir y probar. Para más información escribirme.",https://es.wallapop.com/item/porsche-cayenne-2016-1093186680
3700 EUR,Mercedes-Benz Clase A 2006,Diésel · Manual · 82 caballos · 2006 · 252.000 km,Vehículo importado de Bélgica 641336408,https://es.wallapop.com/item/mercedes-benz-clase-a-2006-1093186633
750 EUR,Hyundai Accent 2004,Diésel · Manual · 2004 · 279.300 km,"Vendo hyundai accent del 2004, unico dueño , ruedas cambiadas, pastillas de freno nuevas,revision en taller de aceite , liquido de freno y direccion , motor irrompible,hace poco le cambis el amortiguador trasero por uno nuevo, itv hasta marzo, tiene problemas esteticos exteriores, pero el coche funciona que da gusto .",https://es.wallapop.com/item/hyundai-accent-2004-1093185498
31.750 EUR,Mercedes-Benz Clase V250 Avantgarde Largo 2017,Diésel · Automático · 190 caballos · 2017 · 64.700 km,"El coche siempre ha estado estacionado en el garaje y cumple con los más altos estándares del comprador más exigente. 4Matic, 8 plazas, todos los extras, impecable, revisiones al día. Neumáticos nuevos, con menos de 2000 km recorridos. Está en perfecto estado, como nuevo.Para más detalles sobre el coche, fotos y para una posible cita por favor escribir un 🇼‌🇭‌🇦‌🇹‌🇸‌🇦‌🇵‌🇵‌ 6️⃣6️⃣1️⃣ 2️⃣1️⃣3️⃣ 6️⃣9️⃣8️⃣. Por favor menciona matrícula.",https://es.wallapop.com/item/mercedes-benz-clase-v250-avantgarde-largo-2017-1093182075
1120 EUR,PEUGEOT 106 1998,Diésel · Manual · 42 caballos · 1998 · 284.600 km,Vehículo de empresa que se sigue utilizando cada día. Ha pasado la ITV el 11-12-24. Próxima ITV 1 año. El precio es 1.000€ vehículo+120€ cambio de nombre por gestoría. El cambio de nombre lo hacemos nosotros. Podemos emitir factura fiscal del total 1.120€ INFORMACIÓN: Tel. 96 381 23 24 Peugeot 106 en Valencia,https://es.wallapop.com/item/peugeot-106-1998-1093179736
1700 EUR,Chevrolet Kalos 2005,Gasolina · Manual · 94 caballos · 2005 · 180.000 km,"itv en vigor pegatia B cierre centralizado aire , calefaccio chapa y pintura muy buena distribucion nueva aceite nuevo interior muy cudado y limpio PRECIO NEGOCIABLE!",https://es.wallapop.com/item/chevrolet-kalos-2005-1093178751
7500 EUR,BMW Serie 5 2004,Diésel · Automático · 218 caballos · 2004 · 300 km,se vende o se cambia por golf GTI bmw 530d en muy buen estado tiene todo lo extras tiene bolante electrico asiento m5 partido electricos calefactable techo sola dispay yeba roscada separadore las 4 aleta abierta yanta japan racing en 19 esta todo omologado en la ficha ternica pasa itv tal y como esta tiene 300mil kilometros la mayoria echo en autovia coche my mimado un saludo kien kiera saber mas k me escriban,https://es.wallapop.com/item/bmw-serie-5-2004-1093178738
13.900 EUR,Volkswagen Golf 2015,Diésel · Automático · 184 caballos · 2015 · 241.000 km,Golf vll en muy buen estado y equipado cambio dsg navegador sensores aparcamiento retrovisores eléctricos manos libres clima etc se entrega revisado con un año de garantía se acepta vehículo como parte de pago previa tasación.,https://es.wallapop.com/item/volkswagen-golf-2015-1093176815
26.000 EUR,BMW Serie 3 2018,Diésel · Automático · 258 caballos · 2018 · 115.000 km,"BMW 330d xdrive muy bien mantenido. Siempre ha sido mantenido y cuidado. Polea tensora reemplazada. El filtro de combustible, el filtro de habitáculo y el filtro de aire fueron sustituidos el verano pasado. Equipo: Transmisión automática deportiva INDICADOR DE PRESIÓN DE NEUMÁTICOS Serie 3 sistema de alarma antirrobo omisión de letras del modelo acceso confort Paquete de confort para el conductor rieles de techo negros Cortina parasol para ventanas laterales de puertas traseras. mecánicamente alfombrillas de terciopelo Triángulo de advertencia o triángulo de advertencia y botiquín de primeros auxilios Espejos exteriores con función de plegado y antideslumbramiento automático Asientos deportivos para conductor y pasajero delantero. Asientos deportivos con calefacción Calefacción del asiento del conductor y del pasajero PAQUETE PREMIUM 2 paquete de conveniencia Calefacción de asientos para asientos traseros Apoyabrazos central movible en la parte delantera Moldura interior de aluminio carbono oscuro con franja decorativa Perlado de alto brillo 5 puertas sistema lavafaros Control de distancia de estacionamiento (PDC) Parabrisas con sensor de lluvia control de clima automático cuentakilómetros Faros LED adaptables Luces antiniebla LED asistente de luces altas Paquete de visibilidad advertencia de cambio de carril Asistente de conducción Desactivación del airbag del pasajero reposacabezas traseros plegables Paquete de medios BMW Professional Plus Pantalla de visualización frontal Sintonizador DAB Código de área 2 Llamada de emergencia inteligente TELESERVICIOS INFORMACIÓN DE TRÁFICO EN TIEMPO REAL SERVICIOS DE CONSERJERIA SERVICIOS REMOTOS TELEFONÍA CON CARGA INALÁMBRICA Punto de acceso wifi Volante de cuero M Paquete aerodinámico M Línea de sombras individual de alto brillo Techo interior individual antracita Edición M Sport Shadow",https://es.wallapop.com/item/bmw-serie-3-2018-1093176747
10.500 EUR,Renault Trafic 2010,Diésel · Manual · 115 caballos · 2010 · 146.000 km,Renault Trafic Año 2010 146000 6 plazas Mantenimiento al día y muy bien cuidada,https://es.wallapop.com/item/renault-trafic-2014-1093191064
2200 EUR,Chevrolet Kalos 2005,Gasolina · Manual · 72 caballos · 2005 · 151.000 km,Falta itv ( ruedas delanteras y sensor de airbag),https://es.wallapop.com/item/chevrolet-kalos-2005-1093175682
22.999 EUR,Renault Trafic 2022,Diésel · Manual · 110 caballos · 2022 · 150.000 km,Se vende Renault TRAFIC 2.0 DCI 110 CV en perfecto estado revisiones al día ITV en vigor kms en autopista mejor ver y probar atiendo llamadas o WhatsApp,https://es.wallapop.com/item/renault-trafic-2022-1093174427
3000 EUR,Opel Combo 2007,Diésel · Manual · 100 caballos · 2007 · 423.000 km,Muy buen estado. Mantenimientos y cambios al día. Mejor ver y probar 649883852,https://es.wallapop.com/item/opel-combo-2007-1093174334
15.000 EUR,BMW Serie 5 2016,Diésel · Automático · 190 caballos · 2016 · 150.000 km,"Se vende bmw serie 5 touring pack luxury en un estado inmejorable con muchísimos extras mantenimientos al día itv recién pasada hasta 2026 ,bola de remolque totalmente eléctrica .Tipo de Motor B47 etiqueta medioambiental C ,mejor ver y probar atiendo llamadas o whatssap.PRECIO NO NEGOCIABLE!!",https://es.wallapop.com/item/bmw-serie-5-2016-1093173940
3000 EUR,Mercedes-Benz Clase C 2003,Gasolina · Manual · 143 caballos · 2003 · 208.000 km,"6 velocidades, bola de enganche, itv hasta septiembre 2025, cambio por tener otro coche mas familiar.",https://es.wallapop.com/item/mercedes-benz-clase-c-2003-1093173485
3500 EUR,Audi A3 2004,Diésel · Manual · 140 caballos · 2004 · 350.000 km,N/A,https://es.wallapop.com/item/audi-a3-2004-1093173150
1999 EUR,Citroen Xsara 2001,Diésel · Manual · 90 caballos · 2001 · 277.519 km,Hola buena vendo o cambio por furgoneta Citroën jumpy o similar si kiereis saber más de mi coche llamar al 624300716 un saludo y gracia seriedad,https://es.wallapop.com/item/citroen-xsara-2001-1093173085
3800 EUR,Citroen Berlingo 2007,Diésel · Manual · 75 caballos · 2007 · 148.000 km,Citroen Berlingo 1.6 HDI en muy buen estado con ITV en vigor. Carrocería con algún mínimo roce e interior en muy buen estado. Al ser un vehículo mixto pasa la ITV cada 6 meses,https://es.wallapop.com/item/citroen-berlingo-2007-1093171617
3800 EUR,Peugeot Partner 2006,Diésel · Manual · 71 caballos · 2006 · 229.500 km,ITV pasada 23 de enero repasada en perfecto estado,https://es.wallapop.com/item/peugeot-partner-2006-1093170841
1800 EUR,Ford Mondeo 2001,Diésel · Manual · 115 caballos · 2001 · 267.000 km,Ford Mondeo,https://es.wallapop.com/item/ford-mondeo-2001-1093170839
8999 EUR,CITROEN DS5 SPORT HYBRID DIESEL 200CV NACIONAL,Diésel · Automático · 200 caballos · 2012 · 255.000 km,MUY BIEN CUIDADO TODO AL DIA ITV HASTA FINALES 2025 2 JUEGOS DE LLAVES MAS ALTO DE GAMA REPITO NO LE FALTA NI 1 EXTRA LE FUNCIONA TODO ACEPTO PRUEBA MECANICA CASA OFICIAL SI LO DESEAS COCHE ESPECTACULAR TODOS LOS MANTENIMIENTOS ECHOS TENGO LIBRO OFICIAL SELLADO,https://es.wallapop.com/item/citroen-ds5-2012-1093170223
33.900 EUR,Volvo XC90 2017,Diésel · Automático · 190 caballos · 2017 · 69.000 km,"Un SUV de lujo 7PLAZAS que destaca por su diseño elegante, prestaciones excepcionales y un interior de alta calidad. Su motor diésel de 2.0 litros y 190CV ofrece un rendimiento potente y una conducción segura en todo tipo de condiciones. La versión MOMENTUM ofrece un acabado premium con materiales sofisticados y tecnología avanzada, incluyendo un sistema de infoentretenimiento intuitivo, asistencia al conductor y un amplio espacio para hasta siete pasajeros. Ideal para quienes buscan un vehículo de lujo, seguro, espacioso y con gran capacidad de carga, todo combinado con la fiabilidad y prestigio de Volvo.",https://es.wallapop.com/item/volvo-xc90-2017-1093170101
2799 EUR,SEAT Ibiza 2007,Diésel · Manual · 100 caballos · 2007 · 258 km,se vende seat ibiza 1.9 TDI 101 CV 3 puertas llantas FR. el vehiculo esta bastante bien interior muy cuidado de exterior tienes sus detalles,https://es.wallapop.com/item/seat-ibiza-2007-1093169517
2900 EUR,Renault Clio 2005,Diésel · Manual · 85 caballos · 2005 · 192.000 km,"Renault, Clio 1.5 diesel, 85 HP. En perfecto funcionamiento, con distribución hecha hace 20.000 km, en el precio se incluye la garantía y el cambio de titularidad.",https://es.wallapop.com/item/renault-clio-2005-1093169274
1000 EUR,Renault Megane 2007,Diésel · Manual · 105 caballos · 2007,Hola vengo Renault megane del ano 2007 motor 1.5 dci 105 cv el coche está impecable función perfectamente lo único tiene algunas luces ensendidas y no tiene itv pero el coche funciona perfectamente,https://es.wallapop.com/item/renault-megane-2007-1093169229
19.999 EUR,Land Rover Defender 2001,Diésel · Manual · 122 caballos · 2001 · 150.000 km,"Buen estado general bastante cuidado,aire acondicionado... Mejor ver y probar para más información 615 47 46 97",https://es.wallapop.com/item/land-rover-defender-2001-1093168405
3400 EUR,Renault Laguna 2009,Diésel · Manual · 130 caballos · 2009 · 280.000 km,"Se vende renault laguna en perfecto estado motor 2.0dci 130cv manual de 6 velocidades mantenimientos hechos al día el más alto de su gama sensor de luces, semi piel, sensor de aparcamiento, controla velocidad luces direccionales xenon etc mejor ver y probar tlf 647004242",https://es.wallapop.com/item/renault-laguna-2009-1093167012
13.200 EUR,Ford Transit Custom 2020,Diésel · Manual · 130 caballos · 2020 · 135.000 km,Ocasión!!! Vendo ford custom en buen estado. Etiqueta eco todos los extras mejor ver y probar.No mando fotos para más información póngase en contacto 615 47 46 97,https://es.wallapop.com/item/ford-transit-custom-2020-1093166641
1500 EUR,Renault megane,1.9 caballos · 2003 · 2.600.000 km,"Se vende Renault megane mantenimiento hecho usando a diario motor 1.9dci 120cavallos 6velocidades coche familiar muy fiable se acepta prueba mecánica se puede probar sin compromiso,el aire acondicionado no funciona,por lo demás todo bien,también acepto cambio por furgoneta.",https://es.wallapop.com/item/renault-megane-1093165014
6500 EUR,"Volkswagen New Beattle 1,6 Cabrio",Gasolina · Manual · 102 caballos · 2006 · 264.200 km,"Volkswagen New Beattle , totalmente revisado , en perfecto estado exterior , interior , mecanica , garantia europea 1 año , incluido cambio de nombre , e ITV reciente",https://es.wallapop.com/item/volkswagen-new-beattle-1-6-cabrio-1093164338
15.000 EUR,Mercedes-Benz Clase E220 FULL AMG 2017,Diésel · Automático · 194 caballos · 2017 · 174.500 km,"Mercedes clase e estate 220d, en perfecto estado y posiblemente uno de los más equipados del mercado. Vehículo nacional, paquete amg interior y exterior, llantas de 20 pulgadas, techo panoramico..Para más detalles sobre el coche, fotos y para una posible cita, por favor escribir un (W H A T S A P P)-(6️⃣ 4️⃣ 7️⃣ . 3️⃣ 5️⃣ 8️⃣ . 4️⃣ 9️⃣ 2️⃣) .Por favor menciona matrícula.",https://es.wallapop.com/item/mercedes-benz-clase-e220-full-amg-2017-1093164102
2800 EUR,Citroen C2 2005,Diésel · Manual · 70 caballos · 2005 · 201.000 km,"Hola vendo Citroen c2 en muy buenas condiciones tiene A/C, dos plazas ya que es un coche comercial o para carga, lleva ITV en vigor, consumo muy bajo motor 1.4 HDI,en el precio incluido cambio de nombre , cambio por quad, mejor ver y probar",https://es.wallapop.com/item/citroen-c2-2005-1093163115
6000 EUR,Citroen Berlingo 2010,Diésel · Manual · 112 caballos · 2010 · 380.000 km,N/A,https://es.wallapop.com/item/citroen-berlingo-2010-1093162828
3800 EUR,Opel Corsa 2008,Diésel · Manual · 125 caballos · 2008 · 340.000 km,Se vende Opel corsa edición elimitada 1.7cdti 125cv 6 velocidades sport kit completo opc original todo homologado en ficha técnica 340.000km reales funciona ala perfecion consumo ridículo 4 l a los 100 detalles de chapa y un rodamiento delantero se acepta cambios...,https://es.wallapop.com/item/opel-corsa-2008-1093162791
2500 EUR,Citroen C4 Cactus 2019,Manual · 131 caballos · 2019 · 90.000 km,"Correa de distribucion recien cambiada,90000 km, motor intacto del año 2019, por dentro esta perfecto , precio negociable airbag saltado",https://es.wallapop.com/item/citroen-c4-cactus-2019-1093161008
17.500 EUR,SEAT Arona 2024,Gasolina · Manual · 90 caballos · 2024 · 50 km,"coche nuevo, a estrenar precio negociable",https://es.wallapop.com/item/seat-arona-2024-1093160944
25.890 EUR,Mercedes-Benz Clase A nuevo,Diésel · Automático · 116 caballos · 2021 · 81.000 km,como nuevo. en concesionario oficial mercedes se puede ver y probar. kit AMG INTERIOR Y EXTERIOR. pack premium. garantia oficial hasta 2026.,https://es.wallapop.com/item/mercedes-benz-clase-a-nuevo-1093160054
3000 EUR,BMW Serie 1 2008,Gasolina · Manual · 122 caballos · 2008 · 124.000 km,mas info por privado,https://es.wallapop.com/item/bmw-serie-1-2008-1093159643
12.000 EUR,BMW Serie 3 2008,Gasolina · Manual · 218 caballos · 2008 · 190.000 km,Acepto cambio por coche familiar,https://es.wallapop.com/item/bmw-serie-3-2008-1093159619
5500 EUR,FIAT ducato 2006 2006,Diésel · Manual · 2006 · 150.005.500 km,vendo furgoneta en buen funcinamiento tiene itev ruedas nuevas embriague echo,https://es.wallapop.com/item/fiat-ducato-2006-2006-1093158925
1500 EUR,Opel Corsa 2006,"Gasolina · Manual · 1,200 caballos · 2006 · 90.000 km",Se vende Opel corsa con 90.000 kilómetros del año 2006 funcionando perfectamente precio 1.500 negociable,https://es.wallapop.com/item/opel-corsa-2006-1093158666
750 EUR,Ford Focus 2006,Diésel · Manual · 136 caballos · 2006 · 350.000 km,"Se vende ford focus que funciona perfectamente, el motor va bien y el coche anda perfecto, se puede probar. tiene un problema, no tiene la itv pasada por que le falta el airbag del copiloto. las puertas derechas estan cambiadas tienen algun golpe se aprecia en la foto precio totalmente negociable",https://es.wallapop.com/item/ford-focus-2006-1093158158
16.500 EUR,Nissan Qashqai 2021,Gasolina · Manual · 140 caballos · 2021 · 42.958 km,se vende nissan super nuevo coche super cuidado revision en casa oficial se acaba de pintar entero por el seguro esta impecable,https://es.wallapop.com/item/nissan-qashqai-2021-1093155881
11.900 EUR,BMW 216D Active Tourer Automático,Diésel · Automático · 116 caballos · 2015 · 149.743 km,N/A,https://es.wallapop.com/item/bmw-216d-active-tourer-automatico-1093155817
11.500 EUR,Citroen C3 Aircross 2019,Gasolina · Manual · 110 caballos · 2019 · 56.000 km,Se vende por cambio a mas grande-revisado concesionario oficial ultima ITV favorable.,https://es.wallapop.com/item/citroen-c3-aircross-2019-1093155566
1100 EUR,Citroen C4 2009,Diésel · Manual · 110 caballos · 2009 · 180.000 km,ITV 2026 único dueño coche en buen estado y todos los mantenimientos al día,https://es.wallapop.com/item/citroen-c4-2009-1093155480
13.500 EUR,BMW Serie 5 touring,Diésel · Automático · 258 caballos · 2011 · 195.000 km,Bmw 530 d touring equipado con techo panoramico asientos electricos xenon volante multifuncion llantas m etc .muy buen estado,https://es.wallapop.com/item/bmw-serie-5-touring-1093154587
5000 EUR,FIAT Ducato 2008,Diésel · Manual · 120 caballos · 2008 · 340.000 km,FIAT DUCATO * MOTOR 2.3JTD 120CV * RADIO DE PANTALLA. * ELEVALUNAS ELÉCTRICOS. * CAJA DE CAMBIOS Y SISTEMA ELECTRICOS A NIVEL NACIONAL PERFECTO PARA SU USO. * PEGATINA MEDIOAMBIENTAL B * ITV EN VIGOR. * AIRE ACONDICIONADO. * CIERRE CENTRALIZADO. * A TOPE DE EXTRAS. * CIERRES ANTIROBO PARA PUERTA TRASERA Y CORREDERA. * 340.000 KM. * EMBRAGUE RECIEN CAMBIADO. ACEPTAMOS VEHICULO COMO PARTE DE PAGO. TENEMOS GESTORIA PROPIA. HORARIO: DE 9:00 A 15:00. Y 17:00 A 19:00.,https://es.wallapop.com/item/fiat-ducato-2008-1093153779
2800 EUR,Volkswagen Golf 2000,Diésel · Manual · 115 caballos · 2000 · 224.000 km,"Se vende Golf 4 1.9 115 con 6 velocidades, 5 puertas. coche en buen estado. Ver sin compromiso.",https://es.wallapop.com/item/volkswagen-golf-2000-1093152172
46.990 EUR,Mercedes-Benz Clase A 45 s AMG,Gasolina · Automático · 421 caballos · 2021 · 84.000 km,Mercedes A45 s Amg 7/2021 con 84000km revisiones en servicio oficial y garantia de fabrica hasta julio 2025 .,https://es.wallapop.com/item/mercedes-benz-clase-a-45-s-amg-1093151841
22.500 EUR,Volkswagen Touareg 2011,Diésel · Automático · 245 caballos · 2011 · 180.000 km,"VW Touareg V6 tdi Premium Bluemotion -Perfecto estado, -Techo electrico panoramico -Entrada,cierre y aranque sin llave -keylless-go -Luz diurna Led -Faros bixenon directionables en curvas -Volante electrico multifunctional con levas y calefactado -Control crucero -USB,Navegador grande -Acientos de cuerro calefactables --Ordenador de abordo -Alarma -Sensores de lluvia -Sensores de luz -Bluetooth -Luces interior led -Porton tracero electrico -Espejos anti desumbrantes automaticos electricos y calefactados. -Cristales oscurecidos originales de fabrica -Enganche de remorque(cabeza esferica giratoria) -Bloqueo diferencial eje tracero -Pilotos traceros led -Asistencia de arranque y descenso en pendientes -Paquete de diseño crome& style -Senseres de aparcamiento -Cambio DSG de 8 velocidades -Enchufe 220v -Freno de mano atomatico electrico -Acientos traceros de cuerro abatibles y deslizantes(ajustables) -Control por voz -Clima digital bizona -Recien revisado , mejor ver y probar,accepto cualquer prueba mecanica y de conduction UN SALUDO!",https://es.wallapop.com/item/volkswagen-touareg-2011-1093150963
8300 EUR,Suzuki Swift 2013,Gasolina · Manual · 95 caballos · 2013 · 93.000 km,"comprado en suzuki oficial con todas las revisiones al dia,itv etc poco negociable!",https://es.wallapop.com/item/suzuki-swift-2013-1093149748
3000 EUR,Audi A8 2005,Diésel · Automático · 233 caballos · 2005 · 320.000 km,Se vende fabuloso A8 3.0Tdi en perfecto estado con todas sus revisiones al dia aceites filtro etc… muchos extras sensor de luzes yuvia piel en veis mandos al volante etc… ai que areglar las dos balonas delanteras de ai el precio con pegatina tipo B🌞para circular por las grandes cuidades acepto todo tipo de prueba mecanica mejor venir ver i probar. Telf: 657271762,https://es.wallapop.com/item/audi-a8-2005-1093148965
1500 EUR,SEAT Leon 2005,Diésel · Manual · 110 caballos · 2005 · 99.998 km,Se cambió a se vende todo perfecto lo único que le falla que no le entra la 5 marcha se aceptan cambios,https://es.wallapop.com/item/seat-leon-2005-1093148797
6950 EUR,Peugeot Expert 2.0 HDI 8 Plazas,Diésel · Manual · 120 caballos · 2008 · 365.274 km,"Muy buen funcionamiento, motor 2.0 HDI 120CV 6 VELOCIDADES, Peugeot expert teepe 8 plazas, mantenimientos al dia, kit distribución recién cambiado certificado, aire acondicionado, elevalunas electricos etc... 2008 Diésel 8 plazas 365.274 KLM 2.0 hdi 120cv",https://es.wallapop.com/item/peugeot-expert-2008-1093147122
7500 EUR,Jeep Renegade 2017,Gasolina · Manual · 140 caballos · 2017 · 180.000 km,"AVERIA EN UN CILINDRO. Jeep Renegade 1.4 turbo 140 CV. Único propietario. Impecable, como nuevo. Tracción 4x2. Aceite y filtros recién cambiados. Distribución cambiada. Muchos extras. Climatizador bizona. Navegador. Alerta de colisión. Sensores de aparcamiento. Control de velocidad. Ordenador de abordo. Etc... Acepto prueba mecánica en taller de su confianza. PRECIO NO NEGOCIABLE. 658401646",https://es.wallapop.com/item/jeep-renegade-2017-1093180483
1000 EUR,Volkswagen Passat 2001,Diésel · Manual · 130 caballos · 2001 · 450.000 km,Coche en muy buen estado para más información llamar e este teléfono El coche se deja en 800,https://es.wallapop.com/item/volkswagen-passat-2001-1093145715
4200 EUR,Peugeot 308 2008,Diésel · Manual · 136 caballos · 2008 · 163.000 km,esta en perfecto estado recien cambiado embrague aceite y filtros mejor ver todo perfecto solo tiene partido el techo solar el motor del techo solar funciona perfectamente lo que se ha partido son lo que engancha la tela del techo a la cremallera,https://es.wallapop.com/item/peugeot-308-2008-1093144507
8500 EUR,Mercedes-Benz Vito 2016,Diésel · Manual · 163 caballos · 2016 · 599.500 km,Itv recién pasada.Ruedas traseras nuevas. Recién cambiado aceite y filtros.Demostrable.Se puede probar,https://es.wallapop.com/item/mercedes-benz-vito-2016-1093138022
